"ID_PARTICIPANTE";"DT_INICIO_BENEFICIO";"VL_VALOR"
"10123582";"20/07/2014";"2985,88"
"10123583";"10/03/2014";"4696,71"
"10123584";"16/06/2014";"3296,08"
"10123585";"16/10/2009";"2984,37"
"10123586";"11/06/2012";"2767,33"
"10123587";"26/11/2007";"2778,81"
"10123588";"04/11/2013";"2880,59"
"10123589";"13/06/2014";"2975,91"
"10123590";"29/09/2008";"2588,58"
"10123591";"28/03/2012";"2637,36"
"10123592";"05/02/2007";"2335,87"
"10123593";"12/06/2012";"2697,66"
"10123594";"11/04/2011";"2793,29"
"10123595";"08/04/2008";"2337,67"
"10123596";"09/01/2014";"2873,10"
"10123597";"01/09/2011";"2820,18"
"10123598";"11/05/2009";"2598,14"
"10123599";"29/07/2011";"2785,36"
"10123600";"09/06/2014";"3216,11"
"10123601";"08/10/2011";"2785,46"
"10123602";"01/11/2011";"2304,06"
"10123603";"01/07/2014";"3336,53"
"10123604";"22/03/2011";"3036,10"
"10123605";"20/08/2014";"3595,57"
"10123606";"22/02/2012";"3204,06"
"10123607";"01/12/2010";"2836,78"
"10123608";"29/10/2008";"2982,72"
"10123609";"03/10/2014";"3109,99"
"10123610";"26/01/2010";"2656,28"
"10123611";"03/06/2009";"2791,42"
"10123612";"24/06/2013";"3505,82"
"10123613";"09/03/2010";"3287,68"
"10123614";"18/07/2014";"4432,46"
"10123615";"06/02/2007";"3215,12"
"10123616";"07/07/2014";"3001,66"
"10123617";"01/09/2013";"3028,35"
"10123618";"09/06/2014";"3069,46"
"10123619";"07/11/2011";"2526,21"
"10123620";"13/04/2009";"1878,21"
"10123621";"30/01/2015";"4551,54"
"10123622";"17/12/2013";"3327,67"
"10123623";"21/03/2015";"3324,17"
"10123624";"12/11/2013";"3409,35"
"10123625";"24/11/2011";"3229,42"
"10123626";"15/06/2013";"3252,40"
"10123627";"28/10/2008";"1545,53"
"10123628";"12/01/2015";"3955,23"
"10123629";"01/05/2013";"3023,88"
"10123630";"10/03/2015";"3296,35"
"10123631";"02/06/2015";"3313,40"
"10123632";"14/09/2012";"2862,81"
"10123633";"01/10/2010";"2690,91"
"10123634";"06/06/2014";"3329,45"
"10123635";"13/08/2014";"3438,16"
"10123636";"05/04/2012";"2806,79"
"10123637";"26/06/2008";"2923,85"
"10123639";"01/03/2012";"3806,23"
"10123640";"01/07/2014";"4539,49"
"10123641";"18/08/2011";"3051,09"
"10123642";"15/10/2010";"2524,24"
"10123643";"01/10/2013";"3665,77"
"10123644";"02/05/2014";"3098,91"
"10123645";"07/08/2007";"2489,90"
"10123646";"21/02/2014";"3092,37"
"10123647";"12/01/2015";"3101,30"
"10123648";"10/04/2013";"3106,13"
"10123650";"28/02/2013";"3123,89"
"10123651";"14/06/2014";"3096,15"
"10123652";"20/09/2010";"2864,26"
"10123653";"23/02/2015";"3313,64"
"10123654";"28/03/2011";"2995,00"
"10123655";"13/01/2007";"2799,44"
"10123656";"05/01/2011";"3286,43"
"10123657";"29/11/2011";"2915,96"
"10123658";"01/06/2011";"2779,64"
"10123659";"15/09/2014";"3317,98"
"10123660";"02/06/2008";"2504,38"
"10123661";"05/10/2012";"2851,83"
"10123662";"29/12/2010";"3103,32"
"10123663";"01/09/2013";"3237,15"
"10123664";"23/07/2013";"2785,16"
"10123665";"01/12/2008";"2515,16"
"10123666";"23/07/2007";"2644,54"
"10123667";"04/10/2010";"2794,66"
"10123668";"28/11/2010";"2962,01"
"10123669";"09/12/2010";"2499,42"
"10123670";"18/07/2016";"3367,41"
"10123671";"18/09/2012";"3132,68"
"10123672";"22/08/2013";"3201,06"
"10123673";"04/06/2013";"4574,25"
"10123674";"25/03/2014";"2877,83"
"10123675";"04/10/2010";"2536,47"
"10123676";"08/09/2008";"2484,57"
"10123677";"03/10/2006";"2746,55"
"10123678";"27/05/2012";"2975,13"
"10123679";"31/05/2012";"2583,24"
"10123680";"18/06/2014";"3192,42"
"10123681";"06/09/2010";"2764,04"
"10123682";"02/06/2009";"2966,19"
"10123683";"13/06/2013";"3137,65"
"10123684";"29/11/2011";"2522,73"
"10123686";"04/12/2011";"2708,74"
